OBJECTID,Location
18225979,171 CHESTER ST
18225982,107 UNCATENA AVE
18225989,199-201 ST. NICHOLAS AVE
18226007,200 ST. NICHOLAS AVE
18226040,167 ST. NICHOLAS AVE
18226052,173-175 ST. NICHOLAS AVE
18226094,130 HIGGINS ST
18226113,17 PURCHASE ST
18226118,125 HOLDEN ST
18226121,9 OSCEOLA AVE
18226155,29 GOVERNORS ST
18226175,369-369 A BURNCOAT ST
18226184,116 ST. NICHOLAS AVE
18226202,28 ROCKDALE ST
18226236,203-205 ST. NICHOLAS AVE
18226239,14 LAMBERT CIR
18226245,111 ST. NICHOLAS AVE
18226251,253 CLARK ST
18226321,368 BURNCOAT ST
18226325,566 WEST BOYLSTON ST
18226337,51 KALMAR ST
18226339,135 BURNCOAT ST
18226362,11S TOWELL AVE
18226404,623-627 LINCOLN ST
18226421,17 MOUNTAIN ST EAST
18226489,38 PURCHASE ST
18226493,46 HARLEY DR
18226498,179-181 ST. NICHOLAS AVE
18226530,285 TACOMA ST
18226534,5 FOX HOLLOW RD
18226543,841 WEST BOYLSTON ST
18226574,6 ROWENA ST
18226580,185-187 ST. NICHOLAS AVE
18226626,12 FALES ST
18226627,541 WEST BOYLSTON ST
18226645,18 POCASSET AVE
18226777,109 POCASSET AVE
18226802,781 GROVE ST
18226819,36 BONNYBROOK RD
18226833,22 NIZAM DR
18226839,4 LAMBERT CIR
18226855,204 ST. NICHOLAS AVE
18226859,8 LAMBERT CIR
18226864,6101 HALCYON DR
18226910,12 LAMBERT CIR
18226932,6 LAMBERT CIR
18226954,60 PIEHL AVE
18227031,72 FAIRHAVEN RD
18227039,207-209 ST. NICHOLAS AVE
18227098,34 ST. NICHOLAS AVE
18227105,3 BEAMAN AVE
18227121,49 COVENTRY RD
18227123,4 BLACKTHORNE DR
18227133,45 ST. NICHOLAS AVE
18227161,31 ASCADILLA RD
18227177,27 BLACKTHORNE DR
18227180,97 POCASSET AVE
18227208,193 CHESTER ST
18227218,133 KING PHILIP RD
18227228,315 ST. NICHOLAS AVE
18227282,125 ST. NICHOLAS AVE
18227286,251 CLARK ST
18227308,376 WEST BOYLSTON ST
18227352,72 FALES ST
18227354,242 CLARK ST
18227359,136 ST. NICHOLAS AVE
18227401,132 ST. NICHOLAS AVE
18227470,76 QUINAPOXET LN
18227494,75 UNCATENA AVE
18227525,14 OSCEOLA AVE
18227536,211 ST. NICHOLAS AVE
18227554,40A-40B BROOKS ST
18227634,212 ST. NICHOLAS AVE
18227640,219 ST. NICHOLAS AVE
18227649,300 ST. NICHOLAS AVE
18227681,14 BLACKTHORNE DR
18227712,90 BARRETT AVE
18227714,262 ST. NICHOLAS AVE
18227719,93 BARRETT AVE
18227743,90 WEST CHESTER ST
18227821,16 BLACKTHORNE DR
18227851,194 ST. NICHOLAS AVE
18227918,19 PAUL ST
18228111,5 NIZAM DR
18228119,25 ANDOVER ST
18228123,8 PICKWICK'S CIR
18228159,265 ST. NICHOLAS AVE
18228171,168 ST. NICHOLAS AVE
18228279,31B ORIENTAL ST
18228296,266 ST. NICHOLAS AVE
