,Style,Model,Grade,Stories,Occupancy,Exterior_Wall1,Exterior_Wall2,Roof_Structure,Roof_Cover,Interior_Wall1,Interior_Wall2,Interior_Flr1,Interior_Flr2,Heat_Fuel,Heat_Type,AC_Type,Total_Bedrooms,Total_Full_Bthrms,Total_Half_Baths,Total_Xtra_Fixtrs,Total_Rooms,Bathrm_Style,Kitchen_Style,Base_Area,Cndtn,Fdtn_Type,Bsmt_Type,Total_Kitchens,Fireplaces,Half_Bath_Grade,FndtnCndtn,Basement,PID,Location,Image,Year_Built,Living_Area,Replacement_Cost,Building_percent_Good,Less_Depreciation,Grade,Roof_Structure,Interior_Floor1,Interior_Floor2,Ext_Qual,Int_Qual,Struct_Class,Bldg_Use,Bath_Grade,Elevator,Sprinkler,1st_Floor_Use,Heat_AC,Frame_Type,Baths_Plumbing,Ceiling_Wall,Rooms_Prtns,Wall_Height,percent_Comn_Wall,Interior_Wall1,Interior_Wall2,Heat_Sys,Ttl_Bedrms,Ttl_Bathrms,Ttl_Half_Bths,Xtra_Fixtres,Bath_Style,Kitchen_Style,Kitchen_Type,Kitchen_Func,Primary_Bldg_Use,Pct_Com_Int,Atypical,Park_Type,Park_Own,Park_Tandem,FIREPLACES,Floor_Number,Base_Flr_Pm,End_Unit,Attic_Fin_Pct,Bsmt_Fin_Pct,Special_Feature,Kitchen_Grade,Residential_Units,Exterior_Wall1,Exterior_Wall2,Cmrcl_Units,ResCom_Units,Section_num,Parking_Spaces,Section_Style,Foundation,Security,Condo_Appeal,Remod_Ext,Super,Grade2,acctnum
23,Typical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54705,0 BIRD ST,https://images.vgsi.com/photos2/WorcesterMAPhotos//\00\02\79\17-039-00031.jpg,,0,$0 ,,$0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-010-00067
24,Typical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55789,0 BRIDGEPORT ST,https://images.vgsi.com/photos2/WorcesterMAPhotos//\00\09\36\51.jpg,,0,$0 ,,$0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-010-0018A
25,Typical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55139,0 BOYDEN ST,https://images.vgsi.com/photos2/WorcesterMAPhotos//\00\08\49\72.jpg,,0,$0 ,,$0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-010-0018B
26,Typical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56561,0 BLACKSTONE RIVER RD,https://images.vgsi.com/photos2/WorcesterMAPhotos//default.jpg,,0,$0 ,,$0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-010-004-1
27,Typical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52532,0 CAMBRIDGE ST,https://images.vgsi.com/photos2/WorcesterMAPhotos//\00\08\53\47.jpg,,0,$0 ,,$0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-010-004-2
28,Typical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55096,0 CAMELOT DR,https://images.vgsi.com/photos2/WorcesterMAPhotos//\00\07\05\98.jpg,,0,$0 ,,$0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-010-02-01
29,Typical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56467,0 CATARACT ST,https://images.vgsi.com/photos2/WorcesterMAPhotos//\00\07\16\97.jpg,,0,$0 ,,$0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-010-02-02
30,Typical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56468,0 CATARACT ST,https://images.vgsi.com/photos2/WorcesterMAPhotos//\00\07\16\92.jpg,,0,$0 ,,$0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-010-02-03
31,Typical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54739,0 CAROLINE ST,https://images.vgsi.com/photos2/WorcesterMAPhotos//\0133\P1090475_133640.jpg,,0,$0 ,,$0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-010-02-04
32,Typical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56354,0 BROOKHAVEN RD,https://images.vgsi.com/photos2/WorcesterMAPhotos//\00\07\15\26.jpg,,0,$0 ,,$0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-010-02-05
